Controller Name:,"Cathode11109820344"
Trend Name:,"ic_conveyor_position_1"
Trend Tags:,"8"
Sample Period:,"10" ms
Description:,""
Start Trigger:,No Trigger

Stop Trigger:,No Trigger

Start Time:,2026-08-10,12:37:50;387
Stop Time:,2026-08-10,12:38:42;607
Pre-Samples:,"0"
Post-Samples:,"0"
Header:,Date,Time,"Program:Sheet_Conveyor_2\ic_conveyor_position","Program:Sheet_Conveyor_2\var_volts_velocity","Program:Sheet_Conveyor_2\oa_conveyor","Program:Sheet_Conveyor_2\i_conveyor_index","Program:Sheet_Conveyor_2\State_Accel_001.X","Program:Sheet_Conveyor_2\State_Full_Speed_001.X","Program:Sheet_Conveyor_2\State_Decel_001.X","Program:Sheet_Conveyor_2\State_Creep_In_001.X"
Data,2026-08-10,12:37:52;967,"318","3.095400","10143","1","1","0","0","0"
Data,2026-08-10,12:37:52;977,"366","3.109800","10190","1","1","0","0","0"
Data,2026-08-10,12:37:52;987,"366","3.109800","10190","1","1","0","0","0"
Data,2026-08-10,12:37:52;997,"412","3.109800","10190","1","1","0","0","0"
Data,2026-08-10,12:37:53;007,"412","3.123600","10235","1","1","0","0","0"
Data,2026-08-10,12:37:53;017,"458","3.123600","10235","1","1","0","0","0"
Data,2026-08-10,12:37:53;027,"458","3.137400","10280","1","1","0","0","0"
Data,2026-08-10,12:37:53;037,"510","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;047,"510","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;057,"556","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;067,"556","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;077,"605","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;087,"605","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;097,"656","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;107,"656","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;117,"703","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;127,"703","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;137,"755","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;147,"755","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;157,"803","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;167,"803","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;177,"857","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;187,"857","3.137400","10280","1","0","1","0","0"
Data,2026-08-10,12:37:53;197,"906","3.137400","10280","1","0","1","0","0"
